"","V1","trialid","ppid","block","maxyr","onsettime","dn","ttlc.failure","rt","disengage_trialtime","world_x_disengaged","world_z_disengaged","world_x_onset","world_z_onset","peak_swa","peak_sr","disengaged","early.disengagement","ttlc.takeover","X","steeringbias_disengaged","failure.point","remove"
"612",1014,"2_3_13_11_N",2,3,13,11,"N",1.63,0.75,11.75,43.10583,67.31261,37.09504,67.33995,63.36,2.609999,1,FALSE,0.88,1023,-16.3160201568215,"Bend exit",FALSE
"613",1015,"2_3_13_5_D",2,3,13,5,"D",1.38,0.716667,5.716667,3.492745,45.50962,1.999848,39.97154,90,5.219997,1,FALSE,0.663333,1024,-9.05952106438834,"Bend entry",FALSE
"614",1016,"2_3_13_5_N",2,3,13,5,"N",1.38,0.583333,5.583333,3.202773,44.49581,1.999801,39.98424,90,5.670002,1,FALSE,0.796667,1025,-8.60792948735375,"Bend entry",FALSE
"615",1017,"2_3_13_8_D",2,3,13,8,"D",1.3,0.483333,8.483333,17.8417,62.26573,14.7976,59.88082,90,5.580003,1,FALSE,0.816667,1026,-14.7138920478313,"Bend apex",FALSE
"616",1026,"2_3_6_1.5_D",2,3,6,1.5,"D",4.02,3.05,4.05,-0.0389170050621033,32.5938987731934,0.00740015599876642,12.1948175430298,25.2000001072884,0.989999994635581,1,FALSE,0.97,1035,-2.36990709169033,"Straight",FALSE
"617",1027,"2_3_6_1.5_N",2,3,6,1.5,"N",4.02,3.4,4.4,-0.0433569326996803,35.4492874145508,0.00804673414677382,12.2491092681885,40.950001180172,2.88000047206879,1,FALSE,0.619999999999999,1036,-3.02549656909234,"Straight",FALSE
"618",1028,"2_3_6_11_D",2,3,6,11,"D",2.57,0.633333333333301,11.6333333333333,23.6301517486572,87.0173034667969,20.2715682983398,83.2209091186523,31.4100006222725,1.5299990773201,1,FALSE,1.9366666666667,1037,-11.5556599649648,"Bend exit",FALSE
"619",1029,"2_3_6_11_N",2,3,6,11,"N",2.57,1.4333333333333,12.4333333333333,27.8685512542725,91.7947006225586,20.2705574035645,83.2064590454102,38.7000006437302,1.17000102996826,1,FALSE,1.1366666666667,1038,-12.2353967897804,"Bend exit",FALSE
"620",1030,"2_3_6_5_D",2,3,6,5,"D",2,0.93333333333333,5.93333333333333,1.90925252437592,47.6655731201172,0.9661083817482,40.2579116821289,54.1799998283386,3.05999815464019,1,FALSE,1.06666666666667,1039,-5.06486071350541,"Bend entry",FALSE
"621",1031,"2_3_6_5_N",2,3,6,5,"N",2,0.6,5.6,1.57394742965698,45.0285949707031,0.96731686592102,40.2646713256836,41.0400000214577,2.51999974250793,1,FALSE,1.4,1040,-4.3884738020545,"Bend entry",FALSE
"622",1032,"2_3_6_8_D",2,3,6,8,"D",1.9,0.75,8.75,9.76998996734619,68.7193984985352,7.2506947517395,63.271915435791,66.3299989700317,2.51999974250793,1,FALSE,1.15,1041,-9.01615128827905,"Bend apex",FALSE
"623",1033,"2_3_6_8_N",2,3,6,8,"N",1.9,0.733333333333331,8.73333333333333,9.70553684234619,68.4733428955078,7.24279356002808,63.1463317871094,51.6600000858307,3.14999967813493,1,FALSE,1.16666666666667,1042,-8.91562644698949,"Bend apex",FALSE
"624",1034,"2_4_13_1.5_D",2,4,13,1.5,"D",3.23,2.883333,3.883333,0.04989114,31.23598,0.002639547,12.19344,50.04,3.42,1,FALSE,0.346667,1043,-4.25185094643149,"Straight",FALSE
"625",1035,"2_4_13_1.5_N",2,4,13,1.5,"N",3.23,2.816667,3.816667,0.0482831,30.77211,0.002505785,12.23969,43.56,1.62,1,FALSE,0.413333,1044,-4.0747446909138,"Straight",FALSE
"626",1037,"2_4_13_11_N",2,4,13,11,"N",1.63,0.81667,11.81667,43.63145,67.19075,37.09683,67.2206,70.56,3.33,1,FALSE,0.81333,1046,-16.2383202055016,"Bend exit",FALSE
"627",1038,"2_4_13_5_D",2,4,13,5,"D",1.38,0.7,5.7,3.455448,45.56019,1.99774,40.15134,90,3.78,1,FALSE,0.68,1047,-9.1210791370424,"Bend entry",FALSE
"628",1039,"2_4_13_5_N",2,4,13,5,"N",1.38,0.516667,5.516667,3.075436,43.95945,1.999859,39.96883,90,6.210001,1,FALSE,0.863333,1048,-8.3574533619339,"Bend entry",FALSE
"629",1040,"2_4_13_8_D",2,4,13,8,"D",1.3,0.5,8.5,17.95088,62.18866,14.80037,59.72059,90,6.749999,1,FALSE,0.8,1049,-14.6017623789636,"Bend apex",FALSE
"630",1041,"2_4_13_8_N",2,4,13,8,"N",1.3,0.533333000000001,8.533333,18.16069,62.35295,14.80038,59.72058,90,6.66,1,FALSE,0.766666999999999,1050,-14.6770565206271,"Bend apex",FALSE
"631",1050,"2_4_6_1.5_N",2,4,6,1.5,"N",4.02,3.46666666666667,4.46666666666667,-0.0487562082707882,35.8613777160645,0.00664564874023199,12.1285123825073,30.7800006866455,1.79999962449073,1,FALSE,0.553333333333329,1059,-3.13273261151927,"Straight",FALSE
"632",1051,"2_4_6_11_D",2,4,6,11,"D",2.57,1.1666666666667,12.1666666666667,26.4607486724854,90.2424087524414,20.2743968963623,83.2504348754883,41.580001115799,1.70999944210052,1,FALSE,1.4033333333333,1060,-12.0271938466979,"Bend exit",FALSE
"633",1052,"2_4_6_11_N",2,4,6,11,"N",2.57,0.9,11.9,25.0524883270264,88.6756439208984,20.2787399291992,83.2806167602539,34.7400006651878,2.88000047206879,1,FALSE,1.67,1061,-11.8152386489125,"Bend exit",FALSE
"634",1053,"2_4_6_5_D",2,4,6,5,"D",2,1,6,1.97692847251892,48.2005653381348,0.966241300106049,40.2626686096191,36.8100008368492,1.25999987125397,1,FALSE,1,1062,-5.21230595499536,"Bend entry",FALSE
"635",1054,"2_4_6_5_N",2,4,6,5,"N",2,1.05,6.05,2.02724170684814,48.5913619995117,0.966097176074982,40.2567329406738,60.2100026607513,1.79999962449074,1,FALSE,0.95,1063,-5.32124623100734,"Bend entry",FALSE
"636",1055,"2_4_6_8_D",2,4,6,8,"D",1.9,0.883333333333329,8.88333333333333,10.2211866378784,69.73583984375,7.25377702713013,63.3202285766602,65.5199986696243,1.62000060081483,1,FALSE,1.01666666666667,1064,-9.29345954613087,"Bend apex",FALSE
"637",1056,"2_4_6_8_N",2,4,6,8,"N",1.9,0.75,8.75,9.77261161804199,68.7587814331055,7.25324630737305,63.3116645812988,55.3500008583069,1.62000060081482,1,FALSE,1.15,1065,-9.03833411643761,"Bend apex",FALSE
"638",1926,"3_1_13_1.5_N",3,1,13,1.5,"N",3.23,2.883333,3.883333,0.04722566,31.64118,0.001600402,12.57409,90,4.140003,1,FALSE,0.346667,1948,-4.41389800041326,"Straight",FALSE
"639",1927,"3_1_13_11_D",3,1,13,11,"D",1.63,0.93333,11.93333,44.56452,67.20645,37.09541,67.22002,84.33,3.059998,1,FALSE,0.69667,1949,-16.3406837025715,"Bend exit",FALSE
"640",1928,"3_1_13_11_N",3,1,13,11,"N",1.63,0.68333,11.68333,42.56247,67.31415,37.09379,67.33878,68.58,4.14,1,FALSE,0.94667,1950,-16.276088967783,"Bend exit",FALSE
"641",1929,"3_1_13_5_D",3,1,13,5,"D",1.38,0.65,5.65,3.353217,45.06141,1.999144,40.03768,90,5.579998,1,FALSE,0.73,1951,-8.86598116302871,"Bend entry",FALSE
"642",1930,"3_1_13_5_N",3,1,13,5,"N",1.38,0.666667,5.666667,3.388054,45.11893,1.999845,39.9688,90,3.78,1,FALSE,0.713333,1952,-8.87776630507814,"Bend entry",FALSE
"643",1931,"3_1_13_8_D",3,1,13,8,"D",1.3,0.6,8.6,18.56873,62.70637,14.79978,59.73289,90,5.310001,1,FALSE,0.7,1953,-14.8589364840919,"Bend apex",FALSE
"644",1932,"3_1_13_8_N",3,1,13,8,"N",1.3,0.566667000000001,8.566667,18.37,62.51616,14.79987,59.71948,90,5.220001,1,FALSE,0.733332999999999,1954,-14.752843586421,"Bend apex",FALSE
"645",1940,"3_1_6_1.5_D",3,1,6,1.5,"D",4.02,3.7,4.7,-0.041846077889204,38.0324478149414,0.0101923039183021,12.4335031509399,36.0899993777275,2.16000035405159,1,FALSE,0.319999999999999,1962,-3.69638663757108,"Straight",FALSE
"646",1941,"3_1_6_1.5_N",3,1,6,1.5,"N",4.02,2.93333333333333,3.93333333333333,-0.0355967879295349,31.6977996826172,0.00785129237920046,12.2324285507202,45.1799976825714,2.16000035405159,1,FALSE,1.08666666666667,1963,-2.18227105120706,"Straight",FALSE
"647",1942,"3_1_6_11_D",3,1,6,11,"D",2.57,0.9,11.9,25.0449924468994,88.5982437133789,20.2697143554688,83.2002944946289,47.6099985837936,2.60999858379363,1,FALSE,1.67,1964,-11.7630628132316,"Bend exit",FALSE
"648",1943,"3_1_6_11_N",3,1,6,11,"N",2.57,1.1333333333333,12.1333333333333,26.3049926757812,90.2257537841797,20.2889614105225,83.4286041259766,41.4000007510185,1.88999980688095,1,FALSE,1.4366666666667,1965,-12.1194827838155,"Bend exit",FALSE
"649",1944,"3_1_6_5_D",3,1,6,5,"D",2,1.03333333333333,6.03333333333333,2.00494766235352,48.3260459899902,0.961731314659119,40.1248512268066,46.3499987125397,1.71000078320503,1,FALSE,0.96666666666667,1966,-5.23634749537615,"Bend entry",FALSE
"650",1945,"3_1_6_5_N",3,1,6,5,"N",2,1.1,6.1,2.07282543182373,48.8852920532227,0.961942315101624,40.1535568237305,61.6500002145767,4.4999983906746,1,FALSE,0.9,1967,-5.39735097749787,"Bend entry",FALSE
"651",1946,"3_1_6_8_D",3,1,6,8,"D",1.9,1.28333333333333,9.28333333333333,11.557933807373,72.5547027587891,7.24847650527954,63.2355499267578,90,5.48999905586242,1,FALSE,0.61666666666667,1968,-10.0590529446233,"Bend apex",FALSE
"652",1947,"3_1_6_8_N",3,1,6,8,"N",1.9,0.85,8.85,10.1037673950195,69.4151992797852,7.24866962432861,63.2410659790039,90,4.86000180244445,1,FALSE,1.05,1969,-9.18516239837254,"Bend apex",FALSE
"653",1949,"3_2_13_1.5_N",3,2,13,1.5,"N",3.23,2.516667,3.516667,0.0422448,28.3871,0.002460771,12.25485,71.91,3.96,1,FALSE,0.713333,1971,-3.23144918179331,"Straight",FALSE
