trialid,ppid,block,maxyr,onsettime,dn,ttlc.failure,rt,disengage_trialtime,world_x_disengaged,world_z_disengaged,world_x_onset,world_z_onset,peak_swa,peak_sr,disengaged,ttlc.takeover,early.disengagement
44_1_1_6_3_N,44,1,6,3,N,3.76,2.36031544939556,5.36031544939556,0.716679990291596,43.2569007873535,0.00259814271703363,24.4670314788818,67.4100011587143,2.07000017166136,1,1.39968455060444,FALSE
4_0_1_20_11_D,4,1,20,11,D,2.03,0.9894068001256,11.9894068001256,47.3749809265137,40.2104301452637,42.4638557434082,46.3544006347656,67.1399992704392,1.98000133037566,1,1.0405931998744,FALSE
4_0_1_20_11_N,4,1,20,11,N,2.03,0.9590434908599,11.9590434908599,47.2185020446777,40.4695091247559,42.4636497497559,46.3981094360352,64.7099983692169,1.34999871253968,1,1.0709565091401,FALSE
4_0_1_20_3_D,4,1,20,3,D,2.33,3.15460958440994,6.15460958440994,0.644449651241303,34.5147552490234,0.00031159128411673,9.33138847351074,61.0199975967407,3.59999924898147,1,-0.82460958440994,FALSE
4_0_1_20_3_N,4,1,20,3,N,2.33,1.15285280481032,4.15285280481032,0.885482370853424,33.6689949035645,0.172262072563171,24.499044418335,63.8999980688095,3.14999967813493,1,1.17714719518968,FALSE
4_0_1_6_11_D,4,1,6,11,D,4.12,1.565297264012,12.565297264012,28.8906173706055,92.6544570922852,20.4597778320313,83.5586013793945,27.7199998497963,0.720000118017197,1,2.554702735988,FALSE
4_0_1_6_11_N,4,1,6,11,N,4.12,2.3238306247132,13.3238306247132,33.1316757202148,96.9599456787109,20.4510326385498,83.437629699707,32.0400005578995,1.07999950647354,1,1.7961693752868,FALSE
4_0_1_6_3_D,4,1,6,3,D,3.76,2.40807726208013,5.40807726208013,0.746204435825348,43.6624183654785,0.00284506939351559,24.4785003662109,27.0000010728836,1.35000005364418,1,1.35192273791987,FALSE
4_0_1_6_3_N,4,1,6,3,N,3.76,2.28013420347253,5.28013420347253,0.674137234687805,42.6963653564453,0.00551226083189249,24.5720920562744,39.4199994206429,2.2500005364418,1,1.47986579652747,FALSE
4_0_2_20_11_D,4,2,20,11,D,2.03,0.8880191857236,11.8880191857236,46.9059219360352,41.0623931884766,42.4641036987305,46.5635108947754,64.4400018453598,2.42999553680421,1,1.1419808142764,FALSE
4_0_2_20_11_N,4,2,20,11,N,2.03,1.059115029823,12.059115029823,47.6891975402832,39.8213424682617,42.4637260437012,46.4018325805664,66.4199978113174,1.08000218868256,1,0.970884970177,FALSE
4_0_2_20_3_D,4,2,20,3,D,2.33,0.9064261307382,3.9064261307382,0.66919356584549,31.6076145172119,0.172228962182999,24.4248676300049,48.6900007724762,1.53000175952911,1,1.4235738692618,FALSE
4_0_2_20_3_N,4,2,20,3,N,2.33,0.84002559706357,3.84002559706357,0.618012130260468,31.0817756652832,0.172213792800903,24.4305896759033,58.4099990129471,1.98000133037568,1,1.48997440293643,FALSE
4_0_2_6_11_D,4,2,6,11,D,4.12,1.7448108594335,12.7448108594335,29.8959999084473,93.6242370605469,20.4518337249756,83.4637451171875,29.070001244545,0.810000300407413,1,2.3751891405665,FALSE
4_0_2_6_11_N,4,2,6,11,N,4.12,1.7632187100046,12.7632187100046,29.9993991851807,93.8337631225586,20.4613246917725,83.577392578125,29.700001180172,1.16999968886375,1,2.3567812899954,FALSE
4_0_2_6_3_D,4,2,6,3,D,3.76,1.98311378619209,4.98311378619209,0.514949917793274,40.2697525024414,0.00450188294053078,24.5476417541504,26.8200007081032,1.61999993026256,1,1.77688621380791,FALSE
4_0_2_6_3_N,4,2,6,3,N,3.76,3.84715504334597,6.84715504334597,0.384952247142792,39.8488960266113,0.0122857009992003,9.19948387145996,30.1500007510185,1.62000060081482,1,-0.0871550433459705,FALSE
4_0_3_20_11_D,4,3,20,11,D,2.03,1.0083984327835,12.0083984327835,47.4532432556152,40.1512756347656,42.4636192321777,46.4038696289063,62.3700016736984,1.08000218868256,1,1.0216015672165,FALSE
4_0_3_20_11_N,4,3,20,11,N,2.03,0.774888314699,11.774888314699,46.3461494445801,41.6541213989258,42.4638404846191,46.403736114502,57.0600003004074,1.44000023603439,1,1.255111685301,FALSE
4_0_3_20_3_D,4,3,20,3,D,2.33,0.79580485861244,3.79580485861244,0.581805109977722,30.8106365203857,0.172473818063736,24.5576953887939,54.9000012874603,2.2500005364418,1,1.53419514138756,FALSE
4_0_3_20_3_N,4,3,20,3,N,2.33,0.93723708676441,3.93723708676441,0.696023404598236,32.0124092102051,0.172471806406975,24.5656147003174,62.820001244545,1.71000078320503,1,1.39276291323559,FALSE
4_0_3_6_11_D,4,3,6,11,D,4.12,1.3587259423825,12.3587259423825,27.7821254730225,91.4150161743164,20.4528942108154,83.4790802001953,32.0400005578995,1.07999950647354,1,2.7612740576175,FALSE
4_0_3_6_11_N,4,3,6,11,N,4.12,1.4972184323006,12.4972184323006,28.5269794464111,92.2843170166016,20.460865020752,83.5724639892578,27.179998755455,0.810000300407406,1,2.6227815676994,FALSE
4_0_3_6_3_D,4,3,6,3,D,3.76,2.14181014706239,5.14181014706239,0.597251951694489,41.5464973449707,0.00298728258349001,24.4862079620361,33.8399988412857,1.53000041842461,1,1.61818985293761,FALSE
4_0_3_6_3_N,4,3,6,3,N,3.76,1.87216711743258,4.87216711743258,0.462986201047897,39.3518028259277,0.00163314107339829,24.4272480010986,27.2700002789497,1.53000041842461,1,1.88783288256742,FALSE
4_0_4_20_11_D,4,4,20,11,D,2.03,0.908618784864,11.908618784864,46.9823608398438,40.7967109680176,42.463752746582,46.4021644592285,64.6199995279312,1.07999950647354,1,1.121381215136,FALSE
4_0_4_20_11_N,4,4,20,11,N,2.03,0.9092399966193,11.9092399966193,46.9824142456055,40.7896423339844,42.4640197753906,46.3948249816895,62.0100009441376,2.24999785423279,1,1.1207600033807,FALSE
4_0_4_20_3_D,4,4,20,3,D,2.33,0.80588430610226,3.80588430610226,0.593493223190308,30.8120498657227,0.172242596745491,24.4268531799316,49.5000010728836,1.62000060081482,1,1.52411569389774,FALSE
4_0_4_20_3_N,4,4,20,3,N,2.33,1.0358238149284,4.0358238149284,0.779716074466705,32.7599143981934,0.172301098704338,24.5171871185303,65.3400009870529,2.70000010728836,1,1.2941761850716,FALSE
4_0_4_6_11_D,4,4,6,11,D,4.12,2.1252568761923,13.1252568761923,32.0195732116699,95.84716796875,20.4531173706055,83.4780502319336,33.120000064373,0.990000665187836,1,1.9947431238077,FALSE
4_0_4_6_11_N,4,4,6,11,N,4.12,1.5733935427785,12.5733935427785,28.9718818664551,92.6734848022461,20.4642505645752,83.4981842041016,29.2499989271164,0.7200001180172,1,2.5466064572215,FALSE
4_0_4_6_3_D,4,4,6,3,D,3.76,2.14165107097149,5.14165107097149,0.596996307373047,41.5393486022949,0.00294624711386859,24.4822750091553,23.2199987769127,1.17000035941601,1,1.61834892902851,FALSE
4_0_4_6_3_N,4,4,6,3,N,3.76,2.11166900099011,5.11166900099011,0.583336353302002,41.368968963623,0.00531967263668776,24.5819473266602,38.7899994850159,2.70000010728836,1,1.64833099900989,FALSE
4_0_5_20_11_D,4,5,20,11,D,2.03,1.2590609982855,12.2590609982855,48.6113586425781,38.647102355957,42.4639854431152,46.5314102172852,69.7499978542328,2.43000090122223,1,0.7709390017145,FALSE
4_0_5_20_11_N,4,5,20,11,N,2.03,0.893306126391501,11.8933061263915,46.9039764404297,41.1199722290039,42.4650077819824,46.6175918579102,62.3700016736984,1.17000102996826,1,1.1366938736085,FALSE
4_0_5_20_3_D,4,5,20,3,D,2.33,1.0090108908261,4.0090108908261,0.750881254673004,32.4502639770508,0.17220750451088,24.4731540679932,54.0000021457672,1.70999944210053,1,1.3209891091739,FALSE
4_0_5_20_3_N,4,5,20,3,N,2.33,1.02556959503517,4.02556959503517,0.765602946281433,32.5893363952637,0.172198444604874,24.4749069213867,64.7099983692169,3.51000040769577,1,1.30443040496483,FALSE
4_0_5_6_11_D,4,5,6,11,D,4.12,2.1250482963464,13.1250482963464,32.0193290710449,95.8492584228516,20.4531898498535,83.4804000854492,35.8200001716614,1.44000023603439,1,1.9949517036536,FALSE
4_0_5_6_11_N,4,5,6,11,N,4.12,1.7092511651493,12.7092511651493,29.7142200469971,93.4461441040039,20.4530792236328,83.4775848388672,26.3700011372566,1.5300004184246,1,2.4107488348507,FALSE
4_0_5_6_3_D,4,5,6,3,D,3.76,2.14393880852913,5.14393880852913,0.601667284965515,41.6544456481934,0.00569307385012507,24.5981006622315,23.129999935627,1.07999984174967,1,1.61606119147087,FALSE
4_0_5_6_3_N,4,5,6,3,N,3.76,3.79674633551472,6.79674633551472,0.363193690776825,39.4374542236328,0.0122814476490021,9.19934463500977,23.3100003004074,1.80000029504299,1,-0.03674633551472,FALSE
4_0_6_20_11_D,4,6,20,11,D,2.03,1.1083468160634,12.1083468160634,47.919376373291,39.5030059814453,42.4636650085449,46.4059944152832,68.0399984121323,1.34999871253967,1,0.921653183936601,FALSE
4_0_6_20_11_N,4,6,20,11,N,2.03,0.866911267537599,11.8669112675376,46.7457656860352,41.3161506652832,42.4638900756836,46.6008186340332,55.2600020170212,1.25999987125397,1,1.1630887324624,FALSE
